Used_AI,AI_Tools,AI_Usage,AI_Effectiveness,AI_Disadvantages,AI_Tools_Heard,AI_News,AI_Expectations,Event_Participation
ある,"ChatGPT, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動, ロゴの作成",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた, 図を同じように生成してくれない","ChatGPT, Google Gemini, Microsoft Copilot, Apple Intelligence",iPhone16への搭載,5,する
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた",ChatGPT,大学生がレポートを書くのに生成AIを使うようになり、教授たちが対策していっている。,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, 文章の生成、要約、添削, 考えごとのサポート, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,,"ChatGPT, Google Gemini",,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,回答が明らかに間違っていた,"ChatGPT, Google Gemini",aiが間違った情報を使った結果、小学生が理科のテストでほぼ全員間違えた,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた, 何でもかんでも聞いてしまうと思考というプロセスを忘れてしまいそうで怖くなった","ChatGPT, Google Gemini, Microsoft Copilot",,4,したいがまだ未定
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,5,する
ない,,,,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Microsoft Copilot",,2,しない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Microsoft Copilot",,3,行くか行かないかまだわからない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Microsoft Copilot, Sora",AIでアニメをつくる,3,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談",いいえ,回答が明らかに間違っていた,"ChatGPT, Google Gemini",,4,しない
ある,"ChatGPT, Microsoft Copilot","文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Microsoft Copilot",フェイクニュースの動画などに悪用されている,3,しない
ある,"ChatGPT, Google Gemini","文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini",,5,したいがまだ未定
ある,"ChatGPT, Microsoft Copilot, ","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Microsoft Copilot",,4,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini",ディープフェイク,3,しない
ない,,,,,"ChatGPT, Google Gemini",石黒浩,4,しない
ない,,,,,"ChatGPT, Google Gemini",,4,しない
ない,,,,,,論文に使ったこと,4,したいがまだ未定
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,回答に信頼性が感じられなかった,Google Gemini,,4,しない
ある,"ChatGPT, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, プログラミングなど制作活動",はい,回答が明らかに間違っていた,"ChatGPT, Google Gemini, Microsoft Copilot, Sora",,4,しない
ある,ChatGPT,"AIとの会話・雑談, 文章の生成、要約、添削, プログラミングなど制作活動",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Sora","aiによって将来仕事が奪われる
",5,したいがまだ未定
ない,,,,,ChatGPT,,3,そもそも知らなかった
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,思ったように回答してもらえなかった,ChatGPT,,4,したいがまだ未定
ある,"ChatGPT, Stable Diffusion","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, プログラミングなど制作活動",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,5,する
ある,ChatGPT,"検索・情報収集, 考えごとのサポート",はい,回答に信頼性が感じられなかった,ChatGPT,,4,インプット会って何ですか？
ない,,,,,"ChatGPT, Sora",,1,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, プログラミングなど制作活動",はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた",ChatGPT,,3,しない
ある,ChatGPT,考えごとのサポート,いいえ,不安だった。,"ChatGPT, Google Gemini",大学生がエッセイにChat GPTを使って退学になった。,3,しない
ある,ChatGPT,"検索・情報収集, 学習のサポート, 考えごとのサポート",はい,回答に信頼性が感じられなかった,ChatGPT,,4,しない
ない,,,,,"ChatGPT, Microsoft Copilot",少しづつ人間の仕事が失われていく,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Sora, Apple intelligences ",ヨーロッパでの規制,5,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Blackbox AI,",検索・情報収集,はい,,"ChatGPT, Google Gemini, Microsoft Copilot",,5,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった",ChatGPT,,3,未定
ない,,,,,ChatGPT,AIを使って変な写真を作って人を困らせるニュースがありました。,3,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",とてもいい,4,しない
ない,,,,,"ChatGPT, Microsoft Copilot",,3,しない
ある,ChatGPT,検索・情報収集,はい,思ったように回答してもらえなかった,ChatGPT,,3,したいがまだ未定
ある,ChatGPT,文章の生成、要約、添削,はい,思ったように回答してもらえなかった,"ChatGPT, Claude",,4,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini",,4,したいがまだ未定
ある,Microsoft Copilot,検索・情報収集,はい,,"ChatGPT, Google Gemini, Microsoft Copilot",,4,しない
ない,,,,,"ChatGPT, Google Gemini",,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot",検索・情報収集,はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Sora",,4,したいがまだ未定
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談",はい,思ったように回答してもらえなかった,"ChatGPT, Claude",,2,しない
ある,ChatGPT,"AIとの会話・雑談, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot",著作権問題,5,しない
ない,,,,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Microsoft Copilot",,4,したいがまだ未定
ある,"ChatGPT, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, プログラミングなど制作活動",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude",最近は様々な会社でAIが使われていたりする,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, synclubとか","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",そういう画像がネットに出回っても規制ができない云々,4,しない
ある,ChatGPT,AIとの会話・雑談,はい,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot",ない,4,しない
ある,ChatGPT,検索・情報収集,はい,,"ChatGPT, Microsoft Copilot",,4,しない
ない,,,,,ChatGPT,,2,しない
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,3,しない
ない,,,,,"ChatGPT, Google Gemini",人間のイラストレーターの作品を無断で学習させて、AIにその絵をもとに新しい絵を生成させるという著作権問題,3,しない
ある,ChatGPT,検索・情報収集,はい,思ったように回答してもらえなかった,Google Gemini,AI が作り上げた文章をそのまま人の手を加えずに課題として提出していた。,4,しない
ある,ChatGPT,学習のサポート,いいえ,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,4,しない
ある,ChatGPT,,はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた",,,2,しない
ない,,,,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Microsoft Copilot",闇バイト,4,しない
ある,ChatGPT,"検索・情報収集, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Claude",,4,しない
ある,"ChatGPT, Claude","検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Claude, Sora",,3,しない
ある,ChatGPT,"学習のサポート, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Sora",,4,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Sora",,3,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった",ChatGPT,,2,しない
ある,"ChatGPT, Google Gemini",検索・情報収集,いいえ,,"ChatGPT, Google Gemini, Microsoft Copilot, Sora",,5,しない
ない,,,,,ChatGPT,,4,しない
ない,,,,,ChatGPT,どんどん進化してる,4,しない
ない,,,,,ChatGPT,人間の仕事がAIに成り代わる,4,しない
ある,ChatGPT,文章の生成、要約、添削,はい,思ったように回答してもらえなかった,ChatGPT,,3,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Sora","検索・情報収集, 文章の生成、要約、添削, 学習のサポート, プログラミングなど制作活動",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Sora",ない,5,しない
ない,,,,,,,3,しない
ある,ChatGPT,"AIとの会話・雑談, 文章の生成、要約、添削",はい,,ChatGPT,,5,する
ある,"ChatGPT, Adobe illustrator ","検索・情報収集, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 回答が明らかに間違っていた",ChatGPT,AIが生成したイラストの著作権の問題,5,しない
ある,"ChatGPT, 使ったことがない",使ったことがない,いいえ,,ChatGPT,医療,4,したいがまだ未定
ある,ChatGPT,"学習のサポート, 考えごとのサポート",いいえ,質問したこととちがう回答が帰ってくる,ChatGPT,,3,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini, Sora",,1,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,思ったように回答してもらえなかった,ChatGPT,数学の問題を入れたらやり方が違うものが出てきて困ったという意見を前に見ました。,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, 学習のサポート, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot",生徒が文章などに使って退学させられる,4,したいがまだ未定
ある,ChatGPT,検索・情報収集,はい,情報収集に関してのAIはいいとは思いますが、artに関してのAIは全面的にアンチです,ChatGPT,Jason AllenのAIアートが受賞してAIが炎上した件,2,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora","検索・情報収集, 学習のサポート, ノートのまとめ",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",基本的にはまとめてもらったりするので使ったほうが良い。情報収集のために使うと誤っている可能性がる。,5,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,5,しない
ある,ChatGPT,検索・情報収集,はい,回答が明らかに間違っていた,"ChatGPT, Google Gemini, Sora",,5,しない
ない,,,,,ChatGPT,,4,しない
ない,,,,,ChatGPT,,4,しない
ない,,,,,ChatGPT,,5,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Google Gemini, Microsoft Copilot",,5,したいがまだ未定
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた",ChatGPT,特にありません。,5,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, AIとの会話・雑談",はい,,"ChatGPT, Google Gemini, Microsoft Copilot",,4,しない
ある,ChatGPT,検索・情報収集,はい,思ったように回答してもらえなかった,ChatGPT,,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,5,しない
ない,,,,,"ChatGPT, Google Gemini",どこかの国でChatGPTが禁止されたこと,4,しない
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot",,2,しない
ない,,,,,ChatGPT,,4,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",Apple inteligence,5,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini",,3,しない
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,"回答に信頼性が感じられなかった, 回答が明らかに間違っていた",ChatGPT,,4,しない
ある,ChatGPT,,いいえ,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini",,1,しない
ある,"ChatGPT, Google Gemini, Claude","検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",いいえ,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion",著作権侵害、,4,しない
ない,,,,,ChatGPT,詐欺,4,しない
ない,,,,,,,3,しない
ない,,,,,"ChatGPT, Google Gemini",,4,したいがまだ未定
ある,"ChatGPT, Google Gemini","AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート",はい,"思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini",,5,しない
ない,,,,,,,4,しない
ない,,,,,ChatGPT,,3,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Sora","検索・情報収集, 学習のサポート, プログラミングなど制作活動",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,3,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削",はい,,"ChatGPT, Google Gemini, Microsoft Copilot, Stable Diffusion",ない,3,しない
ない,,,,,ChatGPT,,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,4,したいがまだ未定
ない,,,,,ChatGPT,,4,しない
ない,,,,,ChatGPT,,3,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,思ったように回答してもらえなかった,ChatGPT,,5,したいがまだ未定
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, 絵をかいてもらう",はい,"回答に信頼性が感じられなかった, AIに全て頼ってしまいそうになる","ChatGPT, Google Gemini, Microsoft Copilot",,5,したいがまだ未定
ある,"ChatGPT, Google Gemini, adobe firefly","検索・情報収集, 文章の生成、要約、添削, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,3,しない
ある,ChatGPT,なんｊ民の模倣,はい,暴言がはけないため、完全な模倣が不可能,"ChatGPT, Google Gemini",,1,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Claude",,5,する
ない,,,,,ChatGPT,絵とか作る、意見を出してくれる,4,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Sora",,5,しない
ない,,,,,ChatGPT,,3,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,思ったように回答してもらえなかった,ChatGPT,,4,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, 学習のサポート",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot",小学校の読書感想文で生成AIが禁止になった,5,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, プログラミングなど制作活動",はい,"思ったように回答してもらえなかった, 一個一個の文章が長すぎたｗ","ChatGPT, Google Gemini, Microsoft Copilot",自動運転,4,したいがまだ未定
ある,ChatGPT,"検索・情報収集, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,ChatGPT,,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","Google Gemini, Claude",apple intelligence,4,しない
ない,,,,,"ChatGPT, Google Gemini",AIが絵を描ける,4,しない
ある,"ChatGPT, Google Gemini, Snapchat AI","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,,しない
ある,ChatGPT,検索・情報収集,はい,回答が明らかに間違っていた,"ChatGPT, cotomoちゃん",,4,しない
ある,ChatGPT,文章の生成、要約、添削,はい,,ChatGPT,,,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot",,3,しない
ない,,,,,ChatGPT,,4,しない
ない,,,,,ChatGPT,,3,予定が決まっていない
ある,ChatGPT,"検索・情報収集, 学習のサポート",はい,ない,"ChatGPT, Google Gemini",,4,しない
ある,ChatGPT,"検索・情報収集, 学習のサポート",はい,,ChatGPT,,3,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, プログラミングなど制作活動",はい,,"ChatGPT, Sora",,4,したいがまだ未定
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot, Stable Diffusion",,5,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,思ったように回答してもらえなかった,ChatGPT,人間の仕事を奪う,4,しない
ある,ChatGPT,"AIとの会話・雑談, 文章の生成、要約、添削",はい,,ChatGPT,,5,しない
ない,,,,,ChatGPT,,5,しない
ない,,,,,ChatGPT,,3,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Apple intelligence",生成AIで作られた大々的なポスターを見て行ったものの、実際はくそしょぼかった遊園地だった,5,しない
ある,ChatGPT,"AIとの会話・雑談, 考えごとのサポート",はい,回答に信頼性が感じられなかった,ChatGPT,AIでおせちの画像を生成して、それを実際につくって販売するというニュース,4,したいがまだ未定
ある,ChatGPT,学習のサポート,はい,,ChatGPT,,4,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 学習のサポート",はい,思ったように回答してもらえなかった,ChatGPT,,4,しない
ない,,,,,ChatGPT,学生が課題を生成AIでやってしまう,4,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削, 学習のサポート",はい,,"ChatGPT, Microsoft Copilot",,5,しない
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,,ChatGPT,,5,しない
ない,,,,,ChatGPT,,4,したいがまだ未定
ある,"Google Gemini, Microsoft Copilot, Claude","検索・情報収集, 考えごとのサポート",はい,,ChatGPT,,5,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 考えごとのサポート",はい,回答に信頼性が感じられなかった,ChatGPT,ChatGPTを子供が使っていいかどうか,5,しない
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削",はい,,ChatGPT,,3,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora, GPTEXCEL","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動, 自分のアイデアを深める",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,4,したいがまだ未定
ある,,,はい,,"ChatGPT, Google Gemini",,3,しない
ない,,,,,ChatGPT,,5,しない
ない,,,,,ChatGPT,,3,しない
ある,ChatGPT,AIとの会話・雑談,はい,,"ChatGPT, Microsoft Copilot, Claude",,5,したいがまだ未定
ある,ChatGPT,学習のサポート,はい,思ったように回答してもらえなかった,ChatGPT,,5,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, 台本の構想、アイデアの収集、構想など",はい,結構細かく注文しなければちゃんと答えてくれない。,"ChatGPT, Google Gemini, Microsoft Copilot",どっかの国で生成AIに年齢制限、使用制限をかけている,3,しない
ない,,,,,ChatGPT,,,しない
ある,ChatGPT,検索・情報収集,はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot",,4,しない
ない,,,,,"ChatGPT, Google Gemini, Sora",,4,しない
ある,ChatGPT,文章の生成、要約、添削,はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini",,4,しない
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot",,5,しない
ない,,,,,"ChatGPT, Google Gemini",,3,しない
ある,ChatGPT,"AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート",はい,,"ChatGPT, Google Gemini",,4,しない
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,,"ChatGPT, Google Gemini",小学生が読書感想文を生成AIを使ってやったというニュース,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora, Adobe photoshop","検索・情報収集, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion, Sora",,5,しない
ない,,,,,ChatGPT,,3,しない
ない,,,,,"ChatGPT, Google Gemini, Microsoft Copilot, Claude",,3,しない
ある,"ChatGPT, Google Gemini","検索・情報収集, 文章の生成、要約、添削",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Sora",夏休みの作文がどうのこうの,3,したいがまだ未定
ない,,,,,ChatGPT,AI生成で作ったイラストを自分が描いたように見せ、イラストレーターを名乗ってお金をとる。,3,しない
ある,ChatGPT,"文章の生成、要約、添削, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot",,5,しない
ある,ChatGPT,"検索・情報収集, 学習のサポート",はい,思ったように回答してもらえなかった,ChatGPT,技術の進歩により、要望を書けばそれに合ったイラストを描いてくれるAIがある。,4,しない
ある,ChatGPT,文章の生成、要約、添削,はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot",chatGPTをなくなったおじいちゃんにして核爆弾のレシピを聞き出したこと,4,したいがまだ未定
ある,"ChatGPT, Google Gemini, Microsoft Copilot","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Google Gemini, Microsoft Copilot, Sora",生徒が読書感想文などで、不正にAIを利用していること。AIによるハッキング。,5,しない
ない,,,,,ChatGPT,,3,したいがまだ未定
ある,ChatGPT,プログラミングなど制作活動,はい,思ったように回答してもらえなかった,Google Gemini,,5,しない
ある,ChatGPT,"検索・情報収集, 学習のサポート",はい,思ったように回答してもらえなかった,"ChatGPT, Google Gemini, Microsoft Copilot",,3,したいがまだ未定
ある,ChatGPT,"検索・情報収集, 文章の生成、要約、添削",はい,,"ChatGPT, Google Gemini, Microsoft Copilot",,4,しない
ある,"ChatGPT, Microsoft Copilot, Claude","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削",はい,回答に信頼性が感じられなかった,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Ganma",,5,したいがまだ未定
ある,ChatGPT,検索・情報収集,,"回答に信頼性が感じられなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini",ハルシネーション,5,そもそもインプット会が何かわからないので参加したいかわからない
ない,,,,,ChatGPT,,4,したいがまだ未定
ある,ChatGPT,"検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Sora",,4,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート",はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった, 回答が明らかに間違っていた","ChatGPT, Google Gemini, Microsoft Copilot, Claude",,4,しない
ある,"ChatGPT, Google Gemini, Microsoft Copilot, Claude","検索・情報収集, AIとの会話・雑談, 文章の生成、要約、添削, 学習のサポート, 考えごとのサポート, プログラミングなど制作活動",はい,専門的な知識に関してはあまり得意ではないし、独創性に関しては自分でやった方がいいと思える。,"ChatGPT, Google Gemini, Microsoft Copilot, Claude, Stable Diffusion",SakanaAI,5,しない
ない,,,,,"ChatGPT, Google Gemini, Sora",iPhone１６,2,しない
ある,"ChatGPT, Google Gemini",検索・情報収集,はい,"回答に信頼性が感じられなかった, 思ったように回答してもらえなかった","ChatGPT, Google Gemini",,3,しない
